Time,Data
9.435999800189165e-06,-96.0
1.3231999673735118e-05,-79.0
1.6388999938499182e-05,-54.0
1.8940999780170387e-05,31.0
2.135499971700483e-05,26.0
2.3934999717312166e-05,13.0
2.6681999770516995e-05,11.0
2.9012999675614992e-05,5.0
3.1210999622999225e-05,32.0
3.343799971844419e-05,22.0
3.5770999602391385e-05,27.0
3.782299972954206e-05,24.0
3.998399961346877e-05,9.0
4.199999966658652e-05,-17.0
4.4018999687978067e-05,-23.0
4.599599969878909e-05,10.0
0.004134360999614728,64.0
0.004154346999712288,64.0
0.004162959000041155,4.0
0.00417139799992583,-19.0
0.0041782829998737725,-35.0
0.004184638999959134,13.0
0.0041910339996320545,12.0
0.004202340999654552,26.0
0.004208459999972547,-21.0
0.0042158629998994,-38.0
0.0042223440000270784,-9.0
0.004228589999911492,5.0
0.004235064999647875,-37.0
0.004244923999976891,-7.0
0.004255152000041562,-3.0
0.004264727999725437,14.0
0.008228139000038937,15.0
0.008250495999618579,9.0
0.008258797000053164,-20.0
0.008265608999863616,5.0
0.008272379999652912,-2.0
0.008279002999643126,-6.0
0.008285446999707347,3.0
0.008292536999761069,-12.0
0.008299090000036813,-13.0
0.00830672299980506,2.0
0.008313089999774093,22.0
0.008319360999848868,-8.0
0.008325631999923644,5.0
0.008331819999966683,-15.0
0.008338190999893413,6.0
0.008344415000010486,5.0
0.012303408999741805,-9.0
0.012328066999998555,17.0
0.012335982999957196,-4.0
0.012342617999820504,-14.0
0.01234987199995885,-9.0
0.012357205999705911,5.0
0.012363648999780708,4.0
0.012370316999749775,6.0
0.012377728000046773,20.0
0.012384443999962969,-2.0
0.01239094099992144,-14.0
0.012397592999604967,-1.0
0.012404142999912438,26.0
0.012410538000040106,1.0
0.012416908999966836,-3.0
0.012423353000031057,-22.0
0.016517002000000502,24.0
0.016544791999876907,20.0
0.01655306099974041,6.0
0.01656026299997393,-11.0
0.01656718699996418,14.0
0.01657401199963715,-2.0
0.016580560999955196,-3.0
0.01658692199998768,22.0
0.016593286999977863,-9.0
0.01659955800005264,-10.0
0.01660604999960924,-6.0
0.01661249999961001,-45.0
0.016618908000054944,-11.0
0.01662715999964348,-7.0
0.016633306999665365,19.0
0.01663981399997283,1.0
0.020547442999941268,-1.0
0.020572652999817365,15.0
0.020580213999892294,-9.0
0.020586922999882518,-3.0
0.02059337199989386,-22.0
0.020599884999683127,-26.0
0.020606376999694476,-1.0
0.020612917999642377,4.0
0.02061920599999212,7.0
0.020625359999939974,8.0
0.020631530999708048,-4.0
0.020637786999941454,14.0
0.02064437499984706,-18.0
0.020655226999679144,18.0
0.020661587999711628,23.0
0.020667980999860447,-13.0
0.02465171099993313,10.0
0.02467847499974596,-2.0
0.02468702399983158,-8.0
0.024693931000001612,-4.0
0.02470128000004479,-13.0
0.024708371999622614,26.0
0.024715643000035925,8.0
0.02472218499997325,-13.0
0.024728490999677888,9.0
0.024734770999657485,-2.0
0.024741077999806294,-1.0
0.024747654999828228,13.0
0.024754038999617478,16.0
0.024762785999882908,15.0
0.02476955799966163,-19.0
0.024776014000053692,-27.0
0.028776156999811064,15.0
0.02880183799970837,14.0
0.028810607999730564,0.0
0.02881810899998527,25.0
0.02882499799989091,17.0
0.028831468999669596,2.0
0.028838329999871348,-5.0
0.028845479999745294,1.0
0.028855686000042624,-30.0
0.028862151999874186,-9.0
0.028868680999948992,37.0
0.028875097999844,9.0
0.028881572000045708,20.0
0.028887896000014734,11.0
0.028894138999930874,3.0
0.028900529999646096,-4.0
0.03286922200004483,-22.0
0.03290137199974197,9.0
0.03291047999982766,-4.0
0.03292613799976607,-23.0
0.03293349699970349,-3.0
0.0329407760000322,12.0
0.03294791300004363,1.0
0.0329549009998118,-15.0
0.0329618229998232,4.0
0.03296856099996148,8.0
0.03297540999983539,-8.0
0.032982162999815046,-15.0
0.03298888799963606,2.0
0.032995717999710905,5.0
0.03300238799965882,-7.0
0.03300929799979713,-3.0
0.03699428199979593,-15.0
0.03701582299981965,1.0
0.037024762999863015,-8.0
0.037032217999694694,23.0
0.037039701999674435,-3.0
0.03704897299985532,-21.0
0.0370561709996764,-13.0
0.03708369699961622,-2.0
0.03709084799993434,7.0
0.03709760399988227,-12.0
0.037104242999703274,5.0
0.03711093799984155,3.0
0.037117751999630855,-8.0
0.03712451399997008,-9.0
0.037131091999981436,23.0
0.03713787599963325,-2.0
0.04094121799971617,6.0
0.04096456799970838,24.0
0.040973123999719974,-2.0
0.04098022599964679,-40.0
0.040987545999996655,-26.0
0.04099438299999747,18.0
0.04100126299999829,18.0
0.041007926000020234,5.0
0.041014840999650914,26.0
0.041021388999979536,-2.0
0.041027759999906266,-3.0
0.041034075999959896,-16.0
0.04104035899990777,11.0
0.04104853499984529,-1.0
0.0410549909997826,-15.0
0.04108687400002964,-9.0
0.04513866599972971,15.0
0.04516467699977511,2.0
0.04517315499970209,-1.0
0.04518041399978756,14.0
0.045187497999904735,2.0
0.04519435499969404,4.0
0.04520177899985356,-12.0
0.04520903000002363,-18.0
0.045216009999876405,-10.0
0.04522284899985607,-8.0
0.0452295889999732,-6.0
0.045236486999783665,5.0
0.04524335499991139,-10.0
0.04525016399975357,1.0
0.04525695199981783,-3.0
0.045263773999977275,7.0
0.04937501899985364,7.0
0.04940227599990976,0.0
0.049410443999931886,-19.0
0.04941796000002796,-21.0
0.04942523699992307,-12.0
0.04943222499969124,11.0
0.049439153999628616,-9.0
0.04944612999997844,-17.0
0.04945323699985238,-6.0
0.0494627089997266,4.0
0.04946959899962167,-18.0
0.049476328999844554,14.0
0.049483444999623316,29.0
0.04949045700004717,-10.0
0.049497210000026826,-8.0
0.04950416999963636,1.0
0.05325221099974442,8.0
0.05327761299986378,11.0
0.05328606700004457,-2.0
0.05329359699999259,-13.0
0.053300826999929996,-26.0
0.053307893999772205,-33.0
0.05331498399982593,-5.0
0.05333331899964833,4.0
0.05334026399987124,10.0
0.053347164999649976,8.0
0.05335418499998923,11.0
0.05336114500005351,-1.0
0.053368064999631315,-12.0
0.05337489299972731,-27.0
0.053382122999664716,15.0
0.053389639999750216,22.0
0.0573802879998766,20.0
0.05740844799993283,10.0
0.05741746900002909,-35.0
0.05742532399972333,-22.0
0.05744451199961986,17.0
0.0574520019999909,10.0
0.057459464999737975,-4.0
0.05746682199969655,-9.0
0.05747401400003582,2.0
0.05748407099963515,10.0
0.05749140299985811,17.0
0.057498656999996456,11.0
0.05750582999962717,-3.0
0.05751317799968092,6.0
0.05752080999991449,25.0
0.05752827399965099,-9.0
0.06147377499974027,-14.0
0.06150094299982811,-18.0
0.061510214999998425,-21.0
0.06151798199971381,-14.0
0.06152583399989453,-2.0
0.06153355099968394,-6.0
0.06154217199991763,11.0
0.06155028599960133,16.0
0.061557612999877165,18.0
0.061564911999994365,4.0
0.06157216999963566,1.0
0.061579489999985526,2.0
0.06158672399988063,16.0
0.061594000999775744,-6.0
0.06160119699961797,5.0
0.06160870099984095,10.0
0.06559792999996716,-1.0
0.06562628099982248,40.0
0.06563681299985547,-13.0
0.06564524699979302,10.0
0.06565349199991033,3.0
0.0656634489996577,-9.0
0.06567147299983844,-12.0
0.06567904699977589,8.0
0.06568646499999886,4.0
0.06569411899999977,-22.0
0.06570159700004297,-17.0
0.06570913699988523,1.0
0.06571672099971693,-14.0
0.06572697999990851,-6.0
0.06573428999990938,1.0
0.06574200099976224,14.0
0.0697100459997273,7.0
0.06972926899970844,23.0
0.069738869000048,-35.0
0.06974648699997488,-20.0
0.06975400600003923,-27.0
0.06976116399982857,12.0
0.06976836299963907,4.0
0.06977527499975622,12.0
0.06978224099975705,0.0
0.06978915199988478,-7.0
0.06979604999969524,13.0
0.06980315900000278,1.0
0.069810132999919,20.0
0.06981701699987752,-7.0
0.06982397599995238,-10.0
0.06983099499984746,-6.0
0.07366170999966926,11.0
0.07369478999999046,21.0
0.0737035899996954,-15.0
0.07371123199982321,-28.0
0.07371859699969718,4.0
0.07372575099998357,13.0
0.07373267100001613,-2.0
0.07373953199976313,-6.0
0.07375059199966927,2.0
0.07376124499978687,-6.0
0.07377222800005256,24.0
0.07377947599979962,20.0
0.0737860389999696,3.0
0.07379296699991755,-2.0
0.07379991799962227,-9.0
0.07380683499968654,-2.0
0.07795930999964185,5.0
0.07798653600002581,-3.0
0.07799549799983652,0.0
0.07800329499968939,-18.0
0.07801071699987006,-11.0
0.07802108199985014,-18.0
0.0780282470000202,18.0
0.07803531299987299,8.0
0.0780421969998315,18.0
0.07804901400004383,-10.0
0.07805579499972737,6.0
0.07808599199961463,17.0
0.07809364900003857,-18.0
0.07810042799974326,-11.0
0.07810719400004018,16.0
0.07811587499963935,25.0
0.08198778199994194,11.0
0.08201473500002976,35.0
0.08202433699989342,-6.0
0.08203228799993667,-31.0
0.08204026299972611,-8.0
0.08204788700004428,4.0
0.08205565999969622,34.0
0.08208221799986859,5.0
0.08209032699960517,-9.0
0.08209779199978584,22.0
0.08210533399960696,28.0
0.08211278399994626,-8.0
0.08212018899985196,-11.0
0.08212765400003263,-11.0
0.08213509400002295,13.0
0.08214285099984409,12.0
0.08599368099976346,-12.0
0.08601355299970237,9.0
0.08602222499985146,-30.0
0.08602953999979945,4.0
0.08603692199994839,1.0
0.08604397499993865,3.0
0.08605086199986545,-20.0
0.08605773299996144,-8.0
0.08607906899987938,8.0
0.08608624899989081,14.0
0.08609310599968012,6.0
0.08609997399980784,-1.0
0.0861067699997875,-5.0
0.08611342399990463,-4.0
0.08612014799973622,-11.0
0.08612694699968415,-2.0
0.09015459099964573,-8.0
0.09018296499971257,0.0
0.09019152099972416,-19.0
0.09019908899972506,-2.0
0.09020683099970483,-24.0
0.09021389300005467,-3.0
0.09022087999983341,-9.0
0.0902278319999823,5.0
0.09023504899960244,36.0
0.09024213299971962,5.0
0.09024902099963583,-2.0
0.09025587799987989,10.0
0.09026277199973265,8.0
0.09026955099989209,1.0
0.09027645699961795,-3.0
0.09028378599987263,-28.0
0.09428455199986274,-14.0
0.09431494899990867,6.0
0.09432481599969833,4.0
0.0943331449998368,1.0
0.09434098799965795,1.0
0.09434887499992328,5.0
0.09435673200005112,-2.0
0.09436418599989338,3.0
0.09437200899992604,-21.0
0.09437949599987405,-10.0
0.09438721599963174,29.0
0.09439458499991815,-1.0
0.09440207599982386,-20.0
0.0944093619996238,-3.0
0.09441700399975161,16.0
0.09442447099991114,-7.0
0.0982417949999217,3.0
0.09827013199992507,8.0
0.09827943399977812,-29.0
0.09828755199987427,-11.0
0.09829560599973775,-2.0
0.09830638299990824,19.0
0.09831418299972938,13.0
0.09832162999964567,-11.0
0.09832900099991093,-9.0
0.09833634699998584,15.0
0.09834373499961657,20.0
0.09835112099972321,-10.0
0.09835841799986156,-11.0
0.09836598799984131,-23.0
0.09837337699991622,-3.0
0.09838098999989597,-2.0
0.1025406649996512,-4.0
0.10257387399997242,13.0
0.10258361899968804,-39.0
0.10259216199983712,5.0
0.1026003019997006,5.0
0.10260822999998709,-6.0
0.10261597899989283,-11.0
0.10262377899971398,3.0
0.10263111299991579,-10.0
0.10263854699996955,-12.0
0.10264598599997043,22.0
0.10265351999987615,-6.0
0.10266069299996161,-4.0
0.10266824399968755,-9.0
0.10267596699986825,7.0
0.10268339699996432,12.0
0.10654465599964169,5.0
0.10656846399979258,-4.0
0.10657834199992067,-21.0
0.10658667300003799,-9.0
0.10659486699978515,-5.0
0.10660290399982841,-9.0
0.10661059299991393,-12.0
0.10661844599962933,-13.0
0.10662619200002155,3.0
0.10663391999969463,-6.0
0.10664171799999167,-23.0
0.10664944099971763,15.0
0.10665707199996177,-2.0
0.10666499699982523,6.0
0.1066727979996358,10.0
0.1066804699999011,-12.0
0.11068504299964843,-8.0
0.11071369699993738,11.0
0.11072244699971634,-18.0
0.1107300519997807,-17.0
0.11073762499972872,-14.0
0.11074487699988822,-11.0
0.11075205799988908,-2.0
0.11075906199994279,-8.0
0.1107663269999648,28.0
0.11077314299973295,-4.0
0.11078005599983953,-33.0
0.11078678599960767,-11.0
0.11079349199962962,7.0
0.11080048399981024,12.0
0.1108071700000437,5.0
0.11081406699986474,14.0
0.11475307599994267,7.0
0.11478081799987194,8.0
0.11478963999979896,0.0
0.11479702899987387,-20.0
0.11480442199990648,-15.0
0.11481144599974868,0.0
0.11481901199977074,21.0
0.1148258979997081,-13.0
0.11483346099976188,-9.0
0.11484497299989016,-18.0
0.1148518579998381,-19.0
0.11485877499990238,16.0
0.11486576399965998,16.0
0.11487264299967137,-26.0
0.1148794480000106,-2.0
0.11488638399987394,9.0
0.11899106800001391,8.0
0.11901902399995379,31.0
0.11902861099997608,-2.0
0.1190366969999559,-2.0
0.11904471499974534,1.0
0.11905247400000007,-10.0
0.1190795799998341,19.0
0.11908847499989861,-3.0
0.11909591799985719,-13.0
0.11910338600000614,-5.0
0.11911362799992276,7.0
0.11912088899998707,-16.0
0.1191282830000091,9.0
0.11913574199979848,19.0
0.11914329799992629,13.0
0.11915085099963107,-6.0
0.12336031899985755,1.0
0.12338750399976561,-1.0
0.1233968950000417,-17.0
0.12340471499965133,-18.0
0.1234127359998638,-26.0
0.12342029799992815,13.0
0.1234277559997281,-11.0
0.12343486800000392,-9.0
0.12344188599990957,-7.0
0.12344888099960372,1.0
0.12345614399964688,17.0
0.12346308699989095,19.0
0.1234701209996274,12.0
0.12347702499982915,-7.0
